Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1994,,,3.0171,,,,7.766,,8.7,9.5,10.0706,,7.6,0.2336,,0.3049,10.1961,,,,12.4639,,,,,,,1.6148,,,,,,2.63,,,,,,,,1.7939,,,,10.2,9.7,,,5.0,,2.1032,,,,4.4,8.5613,,10.0,,9.1,,,4.8,9.6758,,,,,,4.9,,,,,,,5.9095,,9.3,0.6601,,,5.3,,,14.7,6.1012,6.6,,1.6302,15.5,12.1447,,9.6053,,,,4.1,,,,,,,,,11.2838,7.2,12.0552,,1.1123,,12.2215,,,1.2,,5.55,,5.6211,,,,,,3.0746,,2.0215,,0.1946,,,5.4,4.1,0.2323,,6.7,,,,,,1.3571,,,,5.6,,,3.9,0.6009,,,7.6945,11.9612,,,,0.2475,3.5652,,,,,,,,,7.0993,5.7769,6.5,,,,,,,8.9413,11.4707,,,,1.7615,2.5,,,,12.3022,,4.3,8.6633,,,,,,,,,,
1995,,,3.19,,,,7.64,,8.7,9.4,10.02,,,,1.3,,10.37,,3.6,,12.38,2.5,,,,7.4,,,,,5.0,,,2.61,,,,,,,,1.78,,,,,9.7,,3.6,4.9,,,,,,4.3,8.35,,9.3,,8.9,,,4.8,7.66,,,,,,4.9,5.5,,,3.1,,,5.75,,8.8,,,,5.2,,,14.6,5.98,6.3,2.1,,15.4,11.65,,8.64,,,6.4,4.4,,,,,,3.3,,,11.09,7.1,11.19,,,19.57,12.21,,,1.2,,5.41,,5.43,,,,,,,,2.03,,0.12,,,5.3,4.0,0.17,,6.2,,,,,,,,,,5.5,,,3.9,,,,7.64,11.87,,,,,,,,,,,,,3.1,,5.75,4.9,,,,,,1.99,8.2,10.26,,,3.8,,2.5,,,,11.89,,4.1,8.3,,,,,,,,,,
1996,,,3.14,3.18,2.64,3.29,7.13,3.88,8.5,9.3,9.81,,,,1.42,,10.47,,3.94,,12.27,2.13,6.3,1.67,3.11,7.56,,,,,4.6,,2.67,2.55,,,,,1.46,,,1.75,5.13,,,,9.6,,2.65,4.7,1.5,,1.55,2.1,,4.3,7.9,,9.2,,8.8,,,4.6,5.67,,,,,,4.9,5.27,,0.98,3.87,,1.06,6.19,0.71,8.8,,,,5.1,1.6,,,6.03,6.5,2.12,,15.2,10.33,,8.41,,,6.36,4.6,,,,,,3.38,,,10.88,7.0,10.44,,,,12.13,,,1.2,,5.2,,5.78,,,,,,,,2.01,,0.12,,1.48,5.2,4.0,0.16,,6.1,,,,,2.21,1.47,,,,5.5,3.32,,4.0,1.34,1.2,,7.56,11.63,,,,0.45,,,,1.65,,,,,3.74,8.3,5.66,4.4,,,1.5,,,,7.47,8.01,,,5.11,2.0,2.5,,,,10.84,4.39,3.9,7.93,1.85,1.47,18.68,,,,0.69,,,
1997,,,3.05,3.0,,,6.75,,8.3,9.2,9.61,,7.2,,,,10.28,2.9,,,12.36,,,,,,,,,,4.4,,,2.55,,,,,,,,1.71,,,,,9.4,,,4.6,,,,2.1,,4.2,7.71,,7.9,,8.6,,,4.6,5.86,,,,,,4.9,,,,,,,6.01,,8.0,,,,4.9,,,,6.05,5.9,,1.8,15.1,8.45,,8.6,,,,4.8,2.76,,2.7,,4.3,,,,10.19,6.9,9.8,,0.98,,11.62,,,1.1,,5.16,,5.64,,,,,,,,,,0.18,,,5.2,4.0,0.17,,6.1,,,,,,,,,,5.4,,,3.9,,,1.65,7.38,11.34,,2.3,,,,,,,,0.4,,,,8.1,5.67,5.2,,,,,,,7.22,7.11,,,,1.7,2.5,,,,9.37,,3.8,6.48,,,,1.67,,,,,,
1998,,,3.05,3.09,,,6.66,,8.2,9.0,9.06,,7.2,,,,8.41,,,3.82,12.42,,,,,,,,,,4.2,,,2.53,,,,,,,,1.68,,,,,9.3,,,4.5,,2.1,,,,4.2,7.58,,7.8,,8.4,,,4.4,5.71,,,,,,4.8,,,,,,,6.06,,8.1,0.6,,,4.8,,1.45,,6.1,5.5,,,15.0,8.19,,8.3,,1.8,,5.1,,,,,,,,,10.03,6.8,9.41,,,,11.23,,,1.1,,5.15,0.24,5.61,,,,,,,1.34,,,0.12,,,5.1,4.0,,,6.2,2.2,,,,,,,4.4,,5.3,,,3.9,,,,7.31,11.11,,,,0.4,,,,,,,,,,8.0,5.62,3.8,,,1.5,,,,6.91,,,,,,2.5,,,,9.04,,3.7,5.55,,,,,,,0.6,,,
1999,,,3.03,3.2,,,6.2,,7.9,8.9,8.9,,7.1,,,0.3,7.49,,,3.8,12.64,,,,,,,1.6,,,3.9,,,2.52,,,,,,,,,,,,,9.2,,,4.3,,,,,,4.1,7.53,,7.6,2.6,8.3,,,4.2,5.69,,,,,,4.7,,,,,,,5.93,,8.1,,,,4.7,,,,6.12,4.9,,,14.8,7.25,,7.47,,,,5.6,,,,,,,2.2,,9.85,6.3,9.03,,,,8.19,,,1.1,2.1,5.1,,5.57,,,,,,,,,,,,,5.0,3.9,0.2,,,,,,,,,,,,5.1,,,3.8,,,,7.31,10.85,,,,,,,,,,,,,,8.0,5.55,3.7,,,1.4,,,2.2,6.8,,,,,,2.6,,,,8.95,,3.6,5.39,,,,,,,,,,
2000,,,3.21,3.21,1.97,,6.65,,4.02,7.95,7.64,,6.72,,,,7.57,2.71,3.24,1.95,12.01,,,,2.81,,2.84,1.71,2.13,,3.75,6.29,2.7,1.71,,,,,,,,1.62,5.29,,3.31,7.81,9.16,,,4.29,,1.77,1.54,1.92,,3.61,7.04,,7.54,,8.14,,,4.07,4.91,,,,,,4.78,,,,,,0.61,6.23,,8.17,0.58,,2.13,6.14,,,,3.9,4.68,,,14.67,6.9,,6.85,,,,4.68,2.34,1.16,3.07,,4.12,,2.96,,8.83,,8.77,,0.88,,6.09,0.43,1.67,1.06,,4.98,,5.28,,4.12,7.32,,,3.76,,2.05,,,,,4.88,3.8,,,,1.99,,3.1287806,0.49,2.31,,0.99,,,,,,3.71,0.79,1.19,2.08,7.83,10.73,,,0.81,,,,,,,0.42,,,,7.87,5.41,3.58,,,1.4,,,2.16,6.44,5.21,,,,1.71,,,,,8.76,,3.49,5.59,,,,1.43,,,,,,
2001,,,3.17,2.6,1.98,,5.24,,3.94,7.85,7.48,,6.62,,,,7.19,2.64,3.25,1.92,11.99,,,,2.78,,2.72,1.67,2.16,,3.66,6.04,2.59,1.69,,,,,,,,1.58,5.1,,,7.76,9.06,,,4.22,,1.75,1.56,1.92,,3.55,6.6,,7.46,,8.0,,,4.03,4.64,,,,,,4.82,,,,,,0.6,6.19,,7.93,0.58,,2.09,5.87,1.62,,,3.91,4.59,,,14.59,6.65,,5.98,,,,4.48,2.34,1.15,3.0,,3.85,,3.02,,8.33,,8.27,,0.89,,5.98,0.32,1.86,1.08,,4.86,,7.38,,4.15,7.3,,,3.66,,2.01,,,,,4.71,3.82,0.21,,,1.94,,3.0443633,0.5,2.23,,0.98,,,,,,3.65,0.78,1.37,2.12,7.91,10.66,,,0.74,,,,,,,0.42,,,,7.67,5.17,3.27,,,1.4,,,2.16,6.3,5.31,,,,,,4.16,,,8.74,,3.47,5.58,,,,1.44,,,,,,
2002,,,3.09,3.68,1.95,,4.57,,3.91,7.81,7.36,,6.54,,,,6.49,2.56,3.21,1.93,11.4,,,,2.59,,2.66,1.64,2.2,,3.62,5.95,2.52,1.73,,,,,,,,1.55,5.0,,,7.73,8.92,,,4.29,,1.74,1.5,1.9,,3.5,5.98,,7.35,,7.88,,,3.97,4.43,,,,,,4.75,,,,,,0.59,5.85,,7.93,0.58,,2.05,5.79,1.63,,,3.87,4.41,,,14.43,6.66,,5.36,0.6,,,4.87,2.28,1.13,3.0,,3.9,,2.9,,8.1,,7.86,,0.89,,5.9,,1.91,1.09,,4.71,,7.31,,4.1,7.45,,,3.54,,1.96,,,,,4.65,4.99,0.21,,,1.91,,2.9918535,0.49,2.19,,1.03,,,,,,3.57,0.83,1.38,2.05,7.68,10.49,,2.63,0.73,,,,,,,0.42,,,,7.57,5.09,3.13,,,1.38,,0.92,2.09,6.19,5.19,,,,1.67,2.45,,,,8.77,,3.4,5.79,,,,1.45,,,,2.99,,
2003,,,3.05,3.35,1.95,,4.68,,3.95,7.73,7.23,,6.53,,,,6.3,2.35,3.24,1.93,10.83,,,,2.42,,2.7,1.71,2.09,,3.48,5.83,2.48,1.75,,,,,,,,1.52,4.94,,,7.69,8.79,,,4.13,,1.77,1.39,1.9,1.57,3.41,5.73,,7.24,,7.71,,,3.94,4.44,,,,,,4.74,,,,,,0.59,5.79,,7.91,0.58,,2.02,5.68,1.62,,,3.97,4.15,,1.7,14.26,7.29,,5.15,,,,5.13,2.23,1.1,3.0,,3.9,,3.09,,7.85,,7.95,,0.89,,5.88,0.39,2.17,1.06,,4.68,,7.25,0.7,4.14,7.21,,,3.41,,1.92,,,,,4.45,4.99,0.2,,,1.9,,2.9469547,0.48,2.16,,1.0,,,6.68,,,3.58,0.81,1.25,1.97,6.79,10.34,,2.62,0.73,,,,,,,0.42,,,,7.24,4.97,3.05,,4.81,1.49,,0.81,2.08,6.04,5.08,,,,1.67,2.44,,,,8.69,,3.33,5.71,,,,1.47,,,,,,
2004,,,3.04,2.77,1.76,,4.72,,3.97,7.73,7.19,,6.48,,,,6.16,2.19,3.2,1.98,10.26,,,,,,2.67,1.71,2.05,,3.42,5.67,2.38,1.82,,,,,,,2.07,1.48,4.93,,,7.6,8.62,,,3.97,,1.81,1.56,1.92,1.61,3.37,5.64,,7.1,,7.55,,,3.85,4.39,,,,,,4.74,,,,,,0.59,5.7,,7.9,0.58,,1.99,5.65,1.6,1.34,,3.91,3.99,,1.67,14.18,7.36,1.4,5.0,,,,5.46,2.2,1.15,3.0,,3.9,,2.86,,7.57,6.39,7.91,,0.87,,5.71,,2.52,1.07,,4.65,,7.28,0.71,4.14,7.22,,,3.41,,1.89,,,0.5,,4.46,5.25,0.2,,,1.86,,2.8565385,0.48,2.1,,0.95,,,6.67,,,3.59,0.78,1.25,2.0,6.83,9.79,,2.6,0.71,,,,,,,0.42,,,,6.91,4.81,3.01,,4.72,1.49,,0.78,2.04,5.97,4.92,,,,1.72,2.43,,,,8.6,,3.26,5.49,,,,1.55,,,,2.78,,
2005,,,3.02,2.66,1.31,,4.77,,3.88,7.69,7.15,,6.43,,,,6.45,2.18,3.1,2.0,10.69,,,1.06,2.52,,3.22,1.63,2.16,,3.08,5.54,2.29,1.87,,,,1.6,,,2.02,1.33,4.87,,2.74,7.52,8.51,,,3.86,,,1.54,1.88,1.48,3.32,5.38,,7.05,2.05,7.39,,,3.71,4.25,,0.3,,,,4.78,,,,,,0.59,5.61,,7.93,0.59,,1.95,5.47,1.58,1.3,,3.85,4.01,,1.68,14.06,7.36,,4.99,0.59,,,5.94,2.47,1.15,3.6,,3.4,,3.05,,7.28,5.78,7.9,,0.86,,5.76,0.38,2.56,1.05,,4.58,,7.28,0.72,4.11,7.13,,,3.38,,1.88,,,,0.83,4.4,5.16,0.26,,,1.85,,2.8765588,0.47,1.99,,0.98,,,6.53,,,3.56,0.82,1.3,2.01,6.91,9.64,,2.59,0.72,,,,,,,,,,,6.78,4.84,2.93,,4.58,1.28,,0.7,2.01,5.86,4.21,,,,1.72,2.47,,,,8.56,1.05,3.2,5.4,,,,1.57,,0.95,,,,
2006,,,3.06,2.59,,,4.77,,3.9,7.66,7.0,,6.35,,,,6.25,2.05,3.06,2.0,10.76,,,1.09,2.48,,2.91,1.69,2.17,1.2,3.0,5.4,2.31,1.94,0.4,,0.8,,,2.2,2.01,1.3,4.86,,2.71,7.4,8.37,,,3.79,,1.71,1.42,2.08,1.43,3.27,5.55,,6.99,1.93,7.27,,,3.53,4.12,,,,,,4.87,,,,,,0.54,5.62,,7.99,0.59,,1.92,5.26,1.59,1.32,,3.51,3.95,,1.71,13.96,7.39,,4.97,,,,6.54,2.45,1.11,3.6,,3.7,,3.29,1.3,7.16,5.65,7.84,,0.87,14.74,5.73,0.32,4.35,1.02,,4.52,,7.38,0.72,4.08,7.1,0.85,0.4,3.4,,1.9,,,,0.8,4.36,5.03,0.26,,,1.81,,2.8233266,0.46,2.06,,1.03,,,6.48,,,3.48,0.81,1.34,2.2,6.92,9.55,,2.49,0.73,,2.51,,0.4,,,,5.47,,,6.73,4.78,2.89,,4.61,1.47,,0.84,2.02,5.72,4.13,,,,1.74,2.49,,,,8.61,1.0,3.17,5.38,,,,1.6,,,0.61,,,
2007,,,3.04,2.63,1.48,,4.41,,,7.75,6.87,,6.27,,,0.35,6.43,1.93,3.05,2.03,10.82,,,1.09,2.5,,2.87,1.71,2.17,,2.95,5.36,2.27,2.02,,,,,,,2.05,1.29,4.85,,2.72,7.3,8.34,,,3.69,1.2,,1.43,1.82,1.47,3.23,5.48,,6.73,1.92,7.22,,,3.38,3.67,,,,,,4.88,,,,,,0.56,5.64,,7.2,0.6,,1.89,5.1,1.61,,4.12,3.46,3.86,,1.62,13.86,7.35,,5.28,,,,7.32,2.43,1.15,3.43,,3.7,,3.35,,7.19,5.67,7.83,,,14.63,5.68,0.32,4.21,1.06,,4.48,,7.65,0.74,3.93,6.9,0.75,,3.35,1.1,1.91,,,,0.9,4.25,4.86,0.26,,,1.77,,2.792568,0.46,2.09,,1.02,,,6.44,,,3.43,0.8,1.34,1.68,6.75,9.39,,2.39,0.73,,2.4,,,,,,5.27,,,6.78,4.67,2.86,,4.38,1.47,,0.64,2.07,5.4,3.85,,,,1.72,2.52,,,,8.59,0.99,3.13,5.13,,,,1.71,,,0.6,2.34,,
2008,,,3.04,2.56,1.4,,4.18,,3.8,7.69,6.75,,6.25,,,0.37,6.57,1.88,3.01,2.05,10.72,1.14,,1.08,2.6,,2.97,1.7,2.17,,2.83,5.22,2.26,2.16,,,,,,,,1.24,4.63,,2.73,7.22,8.31,,,3.57,1.58,1.74,1.62,1.59,1.4,3.18,5.63,0.2,6.57,1.93,7.06,,,3.32,3.57,,,,,,4.84,,,,,,0.52,5.63,,7.12,0.62,,1.87,4.86,1.6,,3.91,3.4,3.74,,1.6,13.7,7.36,,5.28,0.64,,,7.84,2.45,1.16,3.43,,3.7,,3.29,,7.18,5.56,7.76,,0.87,14.78,5.77,0.29,2.34,1.03,,4.49,,7.22,0.77,3.83,6.86,0.79,,3.34,,1.93,,,,0.89,4.21,4.64,0.26,,,1.75,,2.7468276,0.44,2.2,,1.52,,,6.64,,,3.39,0.82,1.28,1.43,6.82,9.12,0.6,2.31,0.73,,2.31,,,,,,5.26,,,6.59,4.73,2.81,,3.68,1.54,,0.62,1.86,5.27,3.8,,,,1.78,2.56,,,,8.61,0.96,3.12,5.0,,,,1.78,1.73,,0.59,2.32,1.9,
2009,,,2.97,,1.37,,4.1,,3.76,7.68,6.63,,6.14,,,0.49,6.68,1.77,3.0,2.17,10.68,1.12,,1.05,2.58,,2.91,1.71,2.29,,2.79,5.11,2.25,2.32,,,,,,,2.0,1.23,4.56,,2.74,7.16,8.34,,,3.49,1.45,1.74,1.51,1.48,1.4,3.14,5.37,,6.25,2.19,6.81,3.22,,3.25,3.48,,,,1.0,1.9,4.92,,,,,,0.55,5.52,,7.16,0.58,,1.84,2.83,1.5,1.11,3.7,3.32,3.64,1.7,1.59,13.6,7.3,,5.15,,,,8.32,2.52,1.03,3.45,0.7,3.7,,3.41,,7.18,5.46,6.74,,0.85,15.19,5.92,,3.91,1.02,,4.46,0.2,4.74,0.78,3.85,6.65,0.84,,3.48,,1.92,2.7,,,0.9,4.17,4.52,0.26,,2.41,1.73,,2.7566905,0.43,2.27,,1.02,,,6.68,,,3.37,0.82,2.19,1.27,6.91,8.89,0.75,2.31,0.73,,2.26,,,,,,5.28,,,6.55,4.61,2.76,,3.51,1.51,,0.63,1.73,5.16,3.77,,,,1.8,2.6,,0.63,0.4,9.25,1.11,3.07,5.0,,,,1.9,,,0.61,,,1.81
2010,,,2.97,,1.27,,4.15,,3.76,7.65,4.5,,6.09,0.43,,0.54,6.58,1.76,2.92,2.26,10.88,1.12,,1.06,2.59,6.87,2.81,1.69,2.47,,2.77,5.19,2.03,2.51,,,,,1.51,2.16,2.03,1.23,4.56,,2.62,7.35,8.34,,,3.5,1.6,1.71,1.58,1.4,1.27,3.09,5.27,,5.86,2.19,6.57,,,2.92,3.43,0.7,,,,2.1,4.48,,,,,,0.61,5.77,0.66,7.2,0.56,,1.81,2.73,1.64,1.1,3.58,3.28,3.59,1.81,1.61,13.5,7.07,1.4,5.05,0.8,1.32,,8.88,2.5,1.06,3.45,0.8,3.7,,3.47,,7.16,5.36,5.68,,0.84,15.88,6.06,0.33,,1.05,2.8,4.6,0.25,4.43,0.87,3.9,6.6,0.85,,3.4,,1.91,,,,0.9,4.08,4.3,0.25,4.97,2.75,1.7,,2.7657287,0.42,2.13,,1.02,4.34,,6.6,,14.3,3.37,0.84,1.3,1.22,6.59,8.69,0.74,2.31,0.72,,2.19,,,,,,5.31,,2.97,6.46,4.58,2.73,,3.47,1.54,,0.57,1.96,4.99,3.71,0.44,2.48,2.05,1.82,2.73,,0.74,0.5,9.23,2.61,3.03,4.92,,,,2.02,,,0.6,2.25,2.0,1.78
2011,0.45,,2.88,,1.26,4.38,4.19,2.14,3.76,7.67,4.12,,6.05,0.47,,0.53,6.42,2.06,2.89,2.3,10.68,1.1,,1.04,2.55,,2.84,1.8,2.55,1.0,2.78,5.05,2.21,2.72,,,,,1.49,,2.11,1.22,4.04,,2.61,7.11,8.32,,4.0,3.13,1.58,1.68,1.6,1.4,1.33,3.03,5.36,,5.53,1.9,6.5,,1.95,2.87,3.26,0.68,0.3,,,,4.47,3.37,,0.65,,,0.57,5.95,,7.21,0.6,,1.79,2.62,1.32,,3.29,3.27,3.46,1.8,1.6,13.37,6.89,,4.94,,,5.09,9.68,2.54,1.32,3.45,,3.7,1.47,3.52,,7.43,5.28,5.88,,0.83,18.31,6.19,0.32,,1.03,,4.55,0.24,4.3,0.88,3.9,6.91,0.85,,3.34,1.3,1.9,,,,0.92,3.94,4.2,0.26,,2.82,1.52,,2.7440999,0.43,2.07,1.55,1.04,,,6.6,,,3.37,0.83,1.3,1.22,6.46,8.51,0.72,2.25,0.84,,2.14,,,1.05,3.51,0.87,5.33,,3.03,6.05,4.63,2.7,,3.25,1.55,,0.56,2.09,4.88,3.65,,,,1.8,2.62,,0.76,,8.9,2.58,2.94,4.85,2.52,0.94,,2.21,,,0.59,,,1.75
2012,0.46,,2.87,,1.29,4.58,4.19,,3.73,7.67,4.15,0.99,5.98,0.46,,0.61,6.6,2.02,2.86,2.33,10.71,1.09,,1.07,2.51,6.45,2.7,1.78,2.5,,2.77,4.97,2.16,3.04,,,,,1.52,,2.19,1.2,4.04,,2.57,6.98,8.29,1.1,3.99,,1.73,1.66,1.49,1.38,1.29,2.98,5.53,,5.29,,6.48,,,2.8,2.96,0.72,,,,,4.44,3.35,,0.62,1.73,,0.61,5.9,,7.0,0.81,,1.76,2.54,1.65,1.3,3.24,3.22,3.37,1.79,1.6,13.32,6.53,,4.87,,,5.08,10.38,2.39,1.53,3.45,,3.7,,3.59,,7.44,5.15,5.88,,0.83,17.82,6.36,,,1.02,,4.48,0.22,4.63,0.89,3.89,7.0,0.86,,3.46,,1.9,,0.44,,0.91,3.74,3.97,0.26,,2.83,1.31,,2.8740296,0.45,2.12,1.55,1.01,,,6.6,,13.2,3.41,0.85,1.3,1.31,6.56,8.33,0.71,2.26,0.82,,2.19,,,1.09,3.37,,5.35,,2.99,5.91,4.55,2.66,,3.08,1.53,,0.63,2.12,4.76,3.53,,,2.6,1.79,2.66,,,,8.75,2.54,2.9,4.73,2.42,,,2.27,,,0.57,,,1.86
2013,0.46,,2.88,,1.25,4.77,4.2,4.0,3.72,7.64,4.18,0.71,5.93,0.46,,0.58,6.82,2.02,2.83,2.27,10.49,1.09,,1.09,2.49,6.45,2.77,1.76,2.59,,2.7,4.85,2.16,3.32,,,,,1.58,,2.09,1.18,4.04,,2.48,6.75,8.24,1.07,3.96,3.07,1.72,1.65,1.5,1.37,1.25,2.95,4.9,,4.86,1.92,6.41,,,2.75,3.05,0.73,,,,,4.24,3.56,,,1.72,,0.64,5.88,0.72,7.04,0.96,,1.74,2.56,1.72,1.28,3.22,3.22,3.29,1.68,1.51,13.27,6.12,,4.76,0.82,,5.08,11.0,2.29,1.1,2.86,,3.7,1.21,3.66,,7.31,5.17,5.8,,0.82,22.27,6.09,0.32,,1.02,,4.56,0.22,4.75,0.91,3.82,6.96,0.81,,3.45,,1.91,,0.32,,0.95,3.66,3.86,0.26,,2.78,1.26,,2.8434865,0.47,2.13,1.55,0.95,,,6.57,,,3.39,0.87,1.25,1.18,6.65,8.08,0.77,2.31,0.82,,2.19,,,1.09,3.36,0.87,5.41,,2.96,5.81,4.56,2.59,2.02,2.96,1.52,,0.62,2.17,4.7,3.47,,,2.58,1.81,2.64,,1.01,,8.63,2.54,2.86,4.51,2.43,,,2.3,,,0.55,,,
2014,0.46,,2.86,,1.29,4.84,4.28,3.95,3.77,7.58,4.33,0.69,5.85,0.44,,0.6,7.13,1.95,2.76,2.35,10.31,1.04,,1.12,2.48,6.03,2.69,1.74,2.57,,2.66,4.73,2.11,3.57,,,,,1.63,,2.05,1.17,4.03,,2.42,6.73,8.19,1.18,3.92,,1.52,1.64,1.54,1.34,1.24,2.95,4.9,,4.53,1.88,6.35,,,2.72,3.08,0.71,,1.05,,,4.24,3.54,,0.62,1.74,,0.61,5.93,,6.99,0.91,,1.72,2.57,1.78,1.1,3.16,3.2,3.22,1.68,1.41,13.18,5.91,,4.67,,,5.07,11.63,2.25,1.08,2.85,,3.7,,3.72,,7.26,5.05,5.66,,,21.99,6.02,0.32,,1.01,,4.55,0.25,4.59,0.94,3.87,7.06,0.81,,3.43,,1.85,,0.29,,0.96,3.51,3.84,0.27,,2.74,1.22,,2.860479,0.47,2.05,1.6,0.92,,,6.58,,,3.32,0.89,1.31,1.08,6.69,7.85,0.71,2.34,0.8,,2.25,,,1.38,3.35,0.87,5.45,,2.93,5.79,4.55,2.54,,2.89,1.5,,0.61,2.14,4.59,3.52,,,2.85,1.79,2.65,,0.68,,7.31,2.5,2.79,4.33,2.45,0.79,,2.42,,,0.54,,,1.95
2015,0.44,,2.84,,1.43,4.95,4.29,4.04,3.79,7.54,4.13,,5.83,0.43,,0.76,7.24,1.89,2.84,2.37,10.25,0.97,,1.18,2.39,6.01,3.06,1.72,2.61,,2.6,4.73,2.13,3.82,,,,,1.65,,2.08,1.16,4.07,,2.37,6.73,8.09,1.26,3.68,2.53,1.51,1.62,1.52,1.25,1.23,2.96,4.82,,4.28,1.88,6.28,,,2.6,3.38,0.69,,1.02,,,4.25,3.52,,0.59,1.75,,0.6,5.6,,7.0,0.95,,1.7,2.92,1.79,,3.12,3.15,3.2,1.71,1.38,13.15,5.67,,4.48,0.83,,5.07,11.62,2.18,1.15,3.37,,3.7,1.43,3.71,,6.96,4.96,5.69,,,,5.72,,4.95,1.0,,4.59,0.25,4.59,1.07,3.89,7.3,0.78,,3.47,,1.86,,0.26,,0.92,3.46,3.76,0.25,,2.7,1.19,,2.9266357,0.46,2.09,1.6,0.93,,,6.59,,,3.36,0.85,1.28,1.01,6.77,7.55,0.74,2.32,0.67,0.68,2.4,,,1.04,,0.87,5.52,,2.9,5.75,4.52,2.44,,2.82,1.47,0.47,0.64,2.13,4.52,3.94,0.39,,2.43,1.8,2.62,,,,7.27,2.48,2.75,4.22,4.43,0.75,,2.51,,,,,,
2016,0.45,,2.82,,1.39,4.94,4.28,3.38,3.82,7.42,4.12,,5.76,0.42,,0.79,7.27,1.81,,2.39,10.06,0.95,,1.23,2.36,6.0,3.1,1.71,2.57,,2.58,4.69,2.11,4.05,,2.65,,,1.72,,2.07,1.16,4.15,,2.36,6.73,8.02,1.44,3.72,2.6,1.37,1.6,1.38,1.25,1.23,2.95,4.69,0.33,3.97,1.89,6.21,,,2.56,3.64,,,1.08,,,4.2,3.33,,,1.74,,0.63,5.54,,7.0,0.97,,1.68,2.95,1.88,,3.13,3.11,3.18,1.73,1.37,13.09,5.45,,4.45,,1.86,5.07,11.97,2.08,1.21,2.73,0.63,3.7,,3.72,,6.69,4.81,5.72,,,,5.81,,4.94,1.0,,4.62,0.23,4.67,1.07,3.92,7.55,0.79,,3.51,,1.88,,0.3,,0.91,3.38,3.68,0.28,,2.72,1.15,,2.9174736,0.49,2.06,1.64,1.03,,,6.59,,,3.39,0.89,1.28,1.01,6.81,7.37,0.73,2.31,0.67,0.72,2.5,,,1.08,,0.87,5.54,,2.8,5.79,4.5,2.34,,2.75,1.46,,0.65,2.0,4.49,3.88,,,2.46,1.79,2.67,,0.46,,6.91,2.51,2.72,4.22,4.46,0.88,,2.47,,,,,,
2017,0.42,,2.82,,1.46,4.99,4.27,3.26,,7.37,3.98,,5.66,0.42,,0.84,7.45,1.74,2.99,2.39,10.0,1.04,,1.26,2.34,6.09,3.34,1.69,2.54,,2.51,4.65,2.09,4.33,,,,,1.74,,2.1,1.15,4.17,,2.26,6.71,7.96,1.42,3.37,2.61,1.48,1.61,1.4,1.27,1.23,2.96,4.61,,3.75,1.89,6.12,,,2.53,3.98,,,,,,4.21,3.33,,0.45,1.73,,0.64,5.61,,7.02,1.02,,1.66,2.97,1.9,1.06,3.06,3.14,3.19,1.71,1.45,13.01,5.33,,4.33,,,5.08,12.26,2.05,1.58,2.73,,3.2,1.32,3.77,,6.56,4.66,5.57,,0.72,,5.76,,4.94,0.99,,4.57,0.22,4.49,1.06,3.88,7.7,0.77,,3.52,,1.89,,0.18,,0.92,3.24,3.6,0.29,,2.7,1.11,,2.9994235,0.5,2.15,1.63,0.98,,,6.58,,,3.38,0.89,1.32,0.94,6.86,7.21,0.72,2.37,0.74,,2.49,,,1.07,,0.87,5.57,,2.83,5.82,4.51,2.21,,2.69,1.4,0.44,0.64,2.12,4.41,3.86,0.42,,2.47,1.81,2.72,,,,6.8,2.47,2.8,4.26,,0.91,,2.52,,,,,,
