Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,,51526.785,3174.0923,,107.90201,,,0.58982325,,,,,,3926.1482,,,0.063866265,0.5387253,31.428972,9.776587,,,,,,0.9202925,0.0072499947,,,1584.5573,0.37264293,10.799154,0.017757477,,102.51431,0.17176458,0.11826039,,173.53873,0.20414537,2.2297168,,,,164.34589,,,,43.58324,0.0062264027,1.584545,,,,0.21163665,0.2522804,0.16325442,26080.408,89039.02,,,505.3442,,,,,,,,29.783066,,,,1.4545983,503.29767,12.1896715,0.05821487,4.9600224,567.09064,,,,0.4098523,,26.545807,45.61496,3.3001704,0.04593136,,217.324,7439.826,,0.5857873,,,2.9117644,,,0.13109756,,561.5559,,,0.011251342,3.6258614,2758.166,231.70331,34419.887,18.506277,,,1270.6798,0.27138767,0.13508373,,,,0.18549123,,,,,,,,157.05629,,99.15295,,,9860.89,3974.347,,,0.50791186,0.027259136,14.409945,,,0.022061737,1098.4272,,,,,,,,0.43561405,25.515564,2.1037383,0.023298347,,,56.72694,,,,0.19303297,2924.1057,,118.43163,104.10012,5729.2554,,873.3249,316.4637,,,3358.5728,601.4106,,10751.711,,,1426.6748,,,,,89.52671,23.39605,,1165.3341,0.4130658,0.052123178,,,,,,0.71749294,11.317334,,0.04854289,216.93222,,19.24828,0.0031192559,,,,,,744.969,,,0.1663178,26.878302,,1.2301991
1992,,34280.887,2418.7126,,132.67302,,,0.3294401,5459.325,,,,4050.8894,3142.9885,,,0.63348454,46.502785,34.81678,9.675894,,10331.529,,,,0.37683353,0.0071301213,,,13057.219,0.36230886,10.624953,0.017543819,,101.13378,6.9709435,0.2802964,0.69962907,207.1661,0.27783653,2.4910717,,,0.15224124,197.23141,,,,32.26198,0.0061778044,1.5974033,,,,0.2591202,0.3476629,0.34157082,27974.982,86410.96,,3.8306365,603.87335,,2.4193065,,,1.6371561,,,29.509054,,0.23140214,,2.1822948,488.693,22.514807,,,566.46185,4.123473,,,0.77777654,3524.921,34.79259,38.50946,3.5933833,0.113072924,,210.47812,7342.96,,0.7463831,,,4.4334626,,,0.25017977,,355.58606,,,0.011197281,4.7095723,2108.89,273.7116,25134.984,14.804886,,,765.35474,,0.2704492,,0.1912168,,0.3648988,,,,,,,,745.1688,,598.5957,,,10618.091,3811.7122,,,0.49333593,0.02654693,1.1633286,,249.56812,0.07326166,1016.17365,,,,,,,,0.8806375,25.455406,3.1682606,0.06825822,,,37.9718,,,,0.23509453,4101.307,,109.62628,143.57222,5658.154,,1167.8931,189.30276,,,6086.62,552.3836,,12504.732,,,609.43195,,,,,68.75578,32.930984,,1025.1981,2.4801476,0.05837729,1062.2019,,,,,1.0135319,17.39779,,0.0691976,172.77582,0.07453605,13.727408,0.0030815927,,,,0.024060503,,757.55707,,,0.20681147,21.772469,24.337515,0.07474752
1993,,22582.717,2524.5073,,144.82138,,,0.28401837,5794.8555,,,,4370.9995,15349.647,,1.0557312,0.6179271,48.381325,37.28799,10.482925,,15838.918,,,,0.52776045,0.0057399943,,,15384.366,0.3520829,9.785164,0.017342664,,108.24494,9.313138,0.2984867,1.3761693,184.02296,0.26973632,3.0196147,,,0.14848092,206.70526,,,,48.61244,0.009817544,5.8608346,,,,0.30795127,0.43032798,0.4084832,23017.46,83976.305,,6.315045,468.8758,,11.2604065,,,1.5941426,,116.05041,26.950748,,0.37877864,,2.2720158,472.8195,40.375072,,,513.96967,3.9790542,,,8.297603,3207.136,53.04896,48.412315,4.0997353,0.1616929,,188.12593,4015.7605,,2.241429,,0.20408888,5.4967575,,,0.33045095,,113.16814,,,0.011138904,5.4420695,1590.1597,278.19858,32668.395,12.571167,,,539.3951,2.8919985,0.40758643,,0.1950215,,0.4099227,,0.11240398,,,,,94.426445,1010.5296,,678.4447,,,8344.823,3122.199,,,0.41812414,0.025876345,8.815548,,245.09962,0.090371124,742.20886,,,,,,,,1.1179332,25.88812,8.401034,0.16436988,,,34.95245,,,,0.3438233,3359.5786,,103.16844,164.24971,5644.042,0.040930383,1679.923,269.09506,,,7485.4805,461.57578,,8600.166,,,213.18352,,1428.0082,,,35.331066,39.229652,,3211.9216,6917.591,0.05748308,1224.5936,,,,,1.1966697,28.419046,,0.11294374,171.79596,0.25405863,5.1958733,0.0038075913,,,,0.63515884,,758.2301,,,0.23772933,20.987522,18.784512,0.12891006
1994,,16806.348,2132.6418,,153.57478,,,1.3491849,5998.805,,,0.7558429,3930.821,6820.228,,1.1810036,0.68156177,46.696453,55.74483,12.803655,,20832.326,0.36167452,4.018061,,2.2905743,0.025743255,1.9111323,,18623.684,1.5068183,8.10324,0.017154198,0.114390396,108.09385,9.421647,0.7139252,1.857551,171.90799,1.2345,3.8744674,1.0370259,,6.4326906,214.21967,,,0.7103374,45.04796,0.54907686,2882.4812,,0.21128704,0.3875121,74.38518,1.5300474,0.7793348,22071.572,82452.08,0.105372176,20.05806,407.16208,,19.628098,0.034482837,,2.009639,0.18274854,101.34224,84.057205,,1.3750652,,1.9556189,458.86725,61.80155,0.88856906,4.8473096,493.901,3.8423705,9.129146,4.253376,21.723362,1630.964,132.07945,43.211098,4.439147,0.34701717,0.13926949,197.15022,3723.137,,17.022264,0.25252464,0.40400368,9.646142,0.0055871783,0.14081387,33.92487,0.2796186,92.38935,,,0.037668254,45.542732,1141.4526,402.30838,37109.785,13.873799,,,662.5115,,1.7237166,,3.76799,,0.6884397,,10.260557,,,0.2778425,,17.363646,1734.7487,1.8350211,486.29477,,,1559.7799,3024.6787,,,0.5902666,0.4187595,4.1765323,,234.2879,0.5438422,628.5779,,0.48432553,,0.023022925,,,0.24017227,3.38896,18.205349,18.143753,0.6302585,,,93.71403,0.3273252,,0.25003782,1.4313117,3264.2803,9.810419,97.87642,169.63074,33236.91,1.4117606,1684.9519,297.06366,0.23406747,,6596.9487,537.8939,,8985.878,,21.093073,216.62856,0.22458325,745.8273,0.12528203,1.132595,715.589,49.878296,,3124.7788,3975.096,0.23171647,980.9332,0.17004068,,,0.93142176,2.3063838,48.09288,,0.21058096,156.37927,1.760888,11.440858,0.13711283,129.3666,,6.198365,1.7030925,,760.84906,,,0.9350339,3.4405854,0.17490122,0.34948486
1995,,15698.802,1800.4158,,178.11478,,,0.9409748,6090.212,,,0.6163272,2597.6377,5779.04,0.049322974,0.8029839,0.57766056,46.45826,49.739304,11.799808,,20716.984,0.82373405,3.9183993,,2.2858083,0.03215134,,1.7169917,19114.408,1.8013906,7.198194,0.016972663,0.38349652,98.25583,8.580288,1.3664912,15.453516,201.96825,6.255765,5.312156,2.0383453,,5.9120064,227.5165,,,1.0432388,19.7827,0.4681791,2857.7974,,0.34394702,0.38031876,5.345942,1.7514315,1.3251566,14156.659,78593.51,0.08988151,24.09184,175.51385,,27.793427,0.024058204,,2.4038205,0.12896651,6.1919603,78.13082,,5.838545,,12.338649,74.11045,59.866196,2.1009135,5.775339,415.98956,3.7134964,7.7795873,3.2701404,21.220858,5316.1455,184.15744,22.755472,4.9207544,0.52181554,,180.6269,3451.0798,,17.498535,0.20904706,0.43997324,10.753147,0.00397859,0.8188617,35.035286,0.42430046,611.10944,,,0.06392111,45.435135,1180.6078,341.17352,34327.785,12.676154,,,612.5404,,2.9500656,,6.3557243,,1.1363882,,11.870738,0.5479928,,0.39730385,,644.5234,758.1268,3.3804955,357.46924,,,786.69696,3646.5837,,1.0346397,0.36452764,0.40333286,0.74897903,,105.91344,1.7524003,515.5362,,0.55252045,,0.12137318,,,0.424422,3.9210222,5.7991123,24.239265,0.7300176,,43.063705,51.430134,0.32488683,,0.22927192,1.113585,2759.7388,5.8327856,74.9281,139.60823,32064.314,1.963994,1804.7762,198.76556,0.22639647,8.837045,9080.518,408.425,,8767.246,,23.720396,190.17204,0.44823894,646.7488,0.28324446,1.5456922,433.81448,54.69732,,842.5091,2111.8909,0.35364848,991.1596,1.0736763,,,0.9265214,3.569377,73.521286,53.769222,0.22709697,116.91369,3.2942657,8.245967,0.09060207,0.61961144,,6.1911836,2.1537526,,754.3878,,,2.1863725,1.1045865,0.25040498,0.3371419
1996,,15054.855,1761.9539,,178.2061,,,0.61384594,6198.4824,,,0.6657525,3014.769,7061.68,0.04922727,0.65708566,0.6006038,46.42078,39.148987,10.516059,,25646.578,4.9094725,2.3773184,,2.2065034,0.05115633,,0.0,19464.57,1.4323691,6.984921,0.033594012,0.45249605,86.880394,8.595511,1.7613932,15.736397,350.56863,7.570435,5.9457955,2.0035543,,3.7579317,232.27495,,,1.0223845,9.488993,0.511772,2791.0679,,0.64601064,0.36101556,7.7325683,1.8288108,1.7873116,15608.533,75124.88,0.5392996,91.24145,161.87628,,37.945328,0.07879325,,1.9096924,0.118356265,1007.42316,84.78295,,6.6923766,,23.66644,74.680115,67.060265,2.336784,9.560321,381.1678,3.5924702,7.100265,1.6184133,21.27385,6796.806,196.15805,29.91583,5.592892,0.7702527,,165.585,3324.1074,1.8589641,20.383467,0.1906858,0.713021,14.391805,,244.65712,34.339993,357.90115,576.22864,,,0.08764491,49.356888,929.66547,269.8535,35120.59,5.4336905,,,611.9848,,18.306974,,79.5799,,1.1265248,,132.7817,0.523751,,0.56244975,,647.88354,530.3214,4.6436396,331.4088,,0.21155344,210.13208,3529.4397,,0.8529585,0.3863903,0.50359505,0.7897421,,103.127495,4.1765275,482.4123,,0.6202033,,0.19347575,,,0.3708984,5.4122095,5.251368,26.98381,0.8297521,,41.675644,33.54609,0.32258454,0.043676224,2.1653504,0.9599918,2919.802,3.2134647,52.666332,117.31269,6992.82,1.7641528,1883.7618,194.441,0.4911905,8.58549,8932.622,338.29514,,8431.875,,34.31308,171.81895,1.062951,169.56984,0.41853642,1.6164114,174.90273,57.33744,,788.69305,558.9288,0.47062704,1772.1516,68.858475,,4.985343,1.3067504,4.411243,81.28181,53.401688,0.21327639,133.45703,11.919703,6.30004,0.05205628,298.66846,,11.490596,2.4622588,,708.5294,,,6.665442,0.6338228,0.43313798,0.32262793
1997,,14506.072,1825.9164,,166.61171,,,0.4367445,6274.5435,,,0.67755747,2960.4648,8552.1045,0.08839592,0.62278086,1.024307,34.886536,37.105545,13.140626,,21134.69,2.9637341,,,1.9956143,0.061801855,,,19456.307,1.018006,3.9357817,0.03992137,0.76172626,65.461525,8.599436,2.2122269,16.333683,378.00208,732.1333,6.400663,0.98468035,,2.3232486,226.5062,,,0.77988,6.7606683,0.53768903,1212.0698,,0.62440383,0.61168957,11.524952,1.7870309,2.5134537,14825.946,71047.45,0.5293908,88.990875,137.42632,,40.140614,0.10244387,,1.4389158,0.12832119,1004.37476,80.991455,,8.081831,,31.44377,74.21389,76.83617,1.6474733,10.445451,345.43054,3.4785995,4.8540506,0.7324667,20.472841,7754.4043,197.07666,25.976301,4.2607565,0.8925732,,147.6847,3189.5867,1.8436986,17.497639,0.19584092,0.8242234,14.267916,,254.13803,34.029896,336.65442,892.223,,,0.10883396,46.092953,725.3279,248.95282,20444.469,5.2520986,,,670.07684,,18.189867,,78.7431,,1.1354725,,117.941826,0.4936355,,0.7051601,,628.99725,169.20116,3.5834312,310.62622,,0.41856188,198.53702,2915.1716,,,0.35031128,0.41169158,,,26.800907,2.606317,467.71295,,0.48970908,,0.2110299,,,0.36517575,4.1976595,4.3360214,26.145292,0.7116878,,16.159147,19.01518,,,2.1067107,0.39629444,2686.1277,3.2696893,39.957146,133.9533,876.77527,2.4904437,1413.0754,184.8763,0.5267831,8.343967,7741.9946,292.9895,,7771.5327,,30.229963,147.96861,1.2849686,172.04158,0.44090092,1.6887747,40.165684,56.124393,,717.3838,151.99881,0.44133687,1235.865,73.30405,,4.9656873,1.5315835,7.461837,75.31705,53.0504,0.18683839,252.70813,12.49929,2.6990561,0.02742551,290.70294,,11.488361,2.6197824,,642.3481,,,9.628541,0.5277353,0.6712089,0.32542256
1998,,13920.243,2107.0786,,166.75316,,0.16445032,0.38490236,6020.043,,,0.7896256,4107.437,8122.608,0.13721205,0.6627889,0.88962686,3.594288,38.350037,14.701489,,15652.265,2.896659,,,2.2493806,0.07921511,,,18560.373,0.9957023,4.6295877,0.052753102,1.0688728,46.30548,8.745753,3.1865199,9.537035,335.80566,580.64496,9.356436,5.22642,,1.3217583,213.49893,,,1.0934316,18.791225,0.8401216,460.71024,,0.5278773,0.50539273,19.02234,4.1383743,3.7258754,15904.208,67380.39,0.14033382,56.12221,111.52,0.097020596,36.606472,0.10548018,,2.2281935,0.15010194,779.31635,72.907585,,11.271972,,41.685005,748.22437,65.31791,1.6205465,17.920639,293.96326,3.3694992,4.9764533,0.5980374,17.595818,7604.8174,169.19215,12.124798,4.3149877,0.9485944,,139.44078,2949.7385,1.824012,14.369247,0.13283186,1.0117755,17.36928,,130.74051,20.897905,151.79942,635.0461,,,0.13627253,44.840668,552.9057,233.94711,13684.362,8.403507,3.2323127,,618.2564,,7.779539,,42.0709,,1.2707429,,63.676376,0.42609882,,1.0578053,,94.91675,33.87494,3.8092144,301.43393,,0.7045776,0.32294407,2837.6133,,1.0040908,0.250165,0.39713854,109.65247,,3.8914795,3.3359406,437.99127,,0.36014158,,0.40117636,,,0.3599563,4.6818795,2.9717498,27.449577,60.166748,,4.180869,4.905231,,0.021448577,0.2067026,0.32652876,2616.2588,3.6173031,49.019737,116.99351,961.903,2.4259176,1473.9824,102.19983,0.5382658,8.113049,9452.759,214.10403,19.121191,6841.5044,,27.705751,107.34282,2.6605637,166.61018,0.44064778,2.8440936,47.06582,51.40196,,772.07745,72.00291,0.47137126,912.3433,35.415398,,,1.9080678,9.757203,70.63534,52.803886,0.30844718,59.04296,9.128672,2.222712,0.018108113,214.3035,,21.20235,2.406643,,578.27216,,,10.452122,0.3980626,0.79093784,0.34499714
1999,,13081.845,2256.1223,,197.13994,,0.15309195,1.5899035,6100.7515,,,0.58794874,3840.8997,8322.931,0.14667515,0.6283185,0.87257546,3.3835936,32.872784,18.942228,,14482.998,14.991203,4.719693,,2.080425,0.11302625,,,18472.543,0.6090112,5.094582,0.062092602,1.2597774,10.046144,8.883676,3.2586086,11.366496,523.25995,900.0368,11.473192,5.1341143,,1.8901619,210.63507,,,1.8255328,12.125191,1.5879375,259.44867,,0.46976462,0.5327835,23.429533,3.945216,4.874096,15687.651,64046.89,0.12006021,45.170273,108.66612,0.09679575,39.430897,0.101549976,,2.172124,0.1733554,670.4625,69.38949,,13.889694,,47.88859,263.3425,63.247314,1.5193951,32.788727,245.83784,3.2519903,6.1478896,0.2569325,16.655027,8065.0996,107.56565,7.798589,4.2360573,0.9483486,,132.69843,2719.8367,1.8021265,7.954822,0.08560328,1.2742317,18.383572,,58.612007,20.6199,80.56607,312.39874,,,0.15483744,51.999043,400.55917,180.41124,10443.567,10.789494,6.3808475,,615.99176,,7.1248016,,37.769436,,1.3308506,,56.21497,0.33123952,,1.398332,,102.09522,3.3934777,5.7949543,293.9667,,1.0270985,0.1466069,1178.0304,,0.41462705,0.30775324,0.3699489,39.518772,,4.569408,3.6083677,415.25864,,0.18193015,,0.7378177,48.98599,,0.3550963,5.320612,2.4730506,27.514177,58.53903,,0.112163514,3.233413,,0.04255755,0.15663429,0.39974904,3291.6746,0.9795759,38.61743,19.232967,1091.4937,1.5059389,1789.3031,119.18737,0.60505795,7.8975916,11348.812,209.8105,18.87861,6177.578,,20.356733,88.451035,3.309716,166.21257,0.33868873,2.6193628,36.57065,41.243366,,714.9954,73.89601,0.5056258,727.5014,23.396244,19464.74,,1.8254962,12.800377,68.13856,52.532043,0.3513478,59.890926,24.481533,1.1063238,0.013630552,186.0066,,31.750511,2.301946,,531.38226,,,10.620397,0.40658817,0.88295573,0.33945903
2000,,17820.504,2678.3538,,214.80367,,0.48660645,1.6337943,185.14667,0.0,0.0,0.41183442,3477.4985,8779.796,0.19508924,0.65082365,1.0397846,4.016521,30.04805,13.739772,0.0,12139.569,25.171875,4.9832025,,2.0566258,0.12642351,1.90788,,18252.354,0.29808322,3.5216587,0.080927625,0.9604673,5.534185,8.740441,4.3561764,13.860732,735.941,874.8634,23.735008,4.6634483,0.0,1.3967413,180.72551,,,1.2662675,7.9028535,1.4450363,255.7117,0.0,0.48692247,0.5591671,25.935244,5.272194,5.410266,16770.848,60970.93,0.18283866,32.927677,98.49358,0.09659602,47.686264,0.1244038,,2.1166875,0.18456641,504.0707,75.1639,,17.665545,,51.61175,71.26966,71.66349,1.1499969,21.402119,177.03644,,4.576144,0.14914988,13.743237,7748.3096,91.097946,5.024239,4.235512,1.0772998,0.13148937,132.89337,2154.2896,1.777506,6.7744536,0.0803182,1.4188057,16.985508,0.0039361464,16.366571,7.7244663,14.865228,295.69882,,0.0,0.147541,35.196983,296.25058,235.78624,9115.961,11.366592,7.5650597,,643.52686,,4.428053,,20.436428,1.143338,1.3861799,,62.57425,0.3087852,,1.3059496,,105.72346,3.148982,4.2510095,302.75653,,1.0182544,0.13237981,1138.0359,,2.3836296,0.30046093,0.34395954,126.85233,,4.1964846,4.537812,100.94301,,0.08717985,,0.92477506,49.082165,,0.2190927,6.543167,2.325291,26.121943,57.118706,,0.108360596,2.2452774,,0.06338231,0.23339048,0.3920896,3510.4067,0.0,33.32991,27.473833,1449.3782,0.47596285,1777.1704,111.12268,0.5204137,7.7188344,9105.63,130.44803,18.640718,5381.371,,15.969007,70.07282,4.014869,164.98752,0.19161193,1.536352,29.997961,35.26891,,645.61096,78.24833,0.33805332,953.69147,6.5245733,16400.861,4.8687863,1.8184835,12.340066,72.07231,52.26845,0.90484154,135.01994,38.965504,1.4695923,0.061459947,14.636674,,42.268032,1.9122013,,480.53622,,,10.72149,0.35623625,0.9083982,0.91657835
2001,,18781.828,2810.117,,242.2852,0.0,0.48340368,1.7541614,233.63107,6.5718565,0.0,0.33572766,3256.9353,8350.261,0.10693102,0.6983991,0.7320051,4.0524592,26.764357,6.5717664,0.0,10702.997,37.140015,0.0,,1.7937241,0.14236999,2.2863326,,18147.318,0.0,732.1856,0.01601867,0.83028996,5.317571,9.181254,4.7087507,17.825546,752.20044,740.61694,45.170822,4.568538,1.086248,2.1451995,170.04462,,,0.5186028,11.503193,1.2546701,58.471874,7.320751,0.09330404,0.51603806,26.807121,5.026824,6.265067,14412.199,58173.12,0.10910254,34.79391,84.87825,0.0,86.03988,0.06844155,,1.8326291,0.17541464,415.47485,72.13243,,23.524693,,48.962456,72.703865,70.148674,0.85768306,49.07498,140.92575,,4.709059,0.07380898,11.586282,6749.0737,85.691475,9.334402,4.094973,1.0724571,0.12943372,137.11972,2105.3708,,5.766794,0.06282091,1.4098407,14.057357,0.00392896,17.996155,8.06789,13.545059,274.5668,,,0.17643258,34.65916,228.65242,198.86763,8111.9463,16.229803,5.6163297,,624.54974,0.0,6.046632,,26.08734,1.1232901,1.2389532,,89.050255,0.21135525,,1.5904238,,590.04016,2.6107771,1.7378869,318.64838,,2.3005168,0.2427481,1114.3191,,2.4473674,0.22427216,0.32729003,123.582504,,4.009849,4.6795616,86.42197,,0.030897183,,1.2025613,,0.0,0.21642932,7.739015,1.1728122,24.10567,55.8577,,0.104740486,8.332602,,0.07138249,0.13520914,0.11565842,10768.884,0.0,27.609594,30.90257,1019.7547,0.17017376,1718.0449,83.75648,0.3644165,9.351267,3816.49,119.754196,,4784.696,,14.345634,49.11975,3.5133774,38.29754,0.056204922,1.4271226,16.544357,28.508028,,525.6856,82.54086,0.14139575,875.66266,6.5234838,8992.519,0.0,1.2070252,13.820105,71.07693,52.039967,1.048346,162.18185,54.395664,1.3743576,0.07738859,13.766282,,59.027718,1.8574909,,453.01257,,0.0,9.769533,0.27540213,0.53267807,2.1466928
2002,,11742.35,2512.8262,,343.257,13.528138,0.7329101,2.008975,433.4286,6.489377,0.04592925,0.8909083,3125.3013,8419.406,0.20323285,2.9705176,7.6492968,4.1775336,36.16152,6.5141816,0.0,9705.239,64.47594,0.0,,2.4156332,0.24537335,2.2713938,,18020.65,0.28657153,633.2376,0.16489312,0.7556249,10.751721,10.265164,127.21142,33.245293,783.90857,835.44977,75.94356,7.1565695,1.0705354,2.3799534,161.35205,,,0.50945395,68.21639,1.1258911,59.076694,8.773854,0.11160783,0.92632014,38.07144,6.203156,8.449728,13295.843,55578.49,0.13890319,76.6979,85.48134,0.15382995,124.81688,0.15250157,0.0,2.527614,0.2653644,411.1095,75.61727,0.0,39.393265,,55.87029,75.85412,68.79975,2.7180183,67.33448,113.43257,,6.547442,0.0,9.727815,6382.6255,89.710915,34.669956,4.4608345,1.3073064,0.12727696,203.43967,1624.6056,4.5200253,8.782485,0.3883621,5.5669546,22.79171,0.010981719,40.346996,9.466804,57.698486,260.21277,,0.0,0.51586586,34.223583,200.20004,589.5143,8899.2705,26.196297,7.4232163,,672.73395,0.25066602,39.63356,,133.25499,2.8507147,4.3358917,,244.29529,0.29629773,,1.6425629,,390.55533,4.2724433,1.7259617,321.1864,,11.079672,0.6804394,1100.1735,,3.1602232,0.40402535,0.4854273,68.67812,,6.7130127,18.400114,78.62267,,0.19646293,0.11018031,3.5492928,,0.0,0.81295806,14.191667,1.4060459,23.566954,54.90142,,0.20256549,43.717655,,1.0691625,0.5762003,0.49417126,12905.701,1.4060446,40.61549,62.782864,895.8255,0.5806517,1740.9686,115.31388,0.9645764,12.017235,2845.7175,110.746796,18.171906,4526.711,,27.34573,20.339693,11.082836,42.83051,0.30251947,1.8877612,50.07103,108.24157,0.0,519.2956,192.87755,0.5321596,968.5725,16.710442,3195.8552,6.7380257,2.627594,25.502628,288.88962,51.840332,1.6001638,158.28223,175.14948,1.8298998,0.13341027,27.094501,,71.45062,2.0640302,,474.4464,,0.0,7.6553535,0.5643551,0.78888386,33.290146
2003,,9396.182,1836.7041,,332.95993,10.070929,0.38163707,2.0221589,432.9748,6.4188147,0.06054659,0.83716995,3014.6677,7548.1196,0.38549528,3.462624,6.5125017,3.9462197,32.866055,6.1631308,0.0,7179.8574,79.73947,3.4117532,,2.872705,0.2087224,3.0099063,,16305.846,0.28157213,862.61774,0.19160408,0.46362892,9.666294,10.226978,175.81198,38.45835,819.359,840.16345,92.80505,10.880858,1.478715,2.1987097,143.48698,,,0.5002001,65.36307,0.87563735,63.91913,24.798693,0.18550739,0.9910222,36.21043,5.384263,7.365111,4976.571,53153.875,0.119981535,74.47939,84.88655,0.1150978,125.59203,0.18109643,0.0,2.6765938,0.24406396,305.6672,74.49977,,43.603783,,47.159676,73.47539,68.87873,2.454557,69.792,53.45748,,9.828241,0.087477505,8.5121765,5345.0186,86.18807,33.574142,7.216238,1.2269845,0.15026541,178.17532,1375.1509,3.7981327,9.626592,0.36023742,9.786839,20.011017,0.013315449,41.67678,9.387193,60.898293,240.62566,15.9254265,0.0,0.49669406,29.148495,181.81996,550.8547,11326.691,27.636377,9.8168545,,611.50726,0.25188157,44.94512,,138.62051,2.7714887,4.3657026,,272.03574,0.47587797,,1.602276,,287.35233,3.594811,1.4697381,324.36063,,12.847919,0.54660374,1089.1312,,4.347497,0.49254715,0.9522033,67.22403,,5.5950704,17.794117,76.454094,,0.23217572,0.10953704,4.7958713,49.573666,0.0,0.21152373,14.595155,0.9091442,20.224445,0.48269933,,0.1959502,39.815697,,1.2702165,0.51653653,0.6383254,10316.5,1.8799769,38.82659,66.13019,876.4303,1.2349116,2027.7938,77.85526,0.84577,13.085524,1362.9834,94.32205,,4060.172,,26.653837,13.230099,12.42514,30.514444,0.33487996,0.0,42.501377,116.36008,0.0,550.8952,191.07848,0.45476854,885.0993,17.187956,13.851382,10.52823,2.913235,25.437769,272.86047,51.466805,1.8954123,133.72736,194.84785,1.7981292,0.13590515,28.757828,,92.79799,2.3095303,,456.45142,,,7.4010625,0.58556277,0.86492556,58.48439
2004,,10247.847,1230.3052,,338.01685,0.0,1.5579264,2.0326715,443.6329,16.511292,0.05487193,0.5383253,2951.5632,6644.4517,0.39342508,3.6646209,4.25909,4.011816,28.737598,5.967094,0.0,5525.5625,84.49846,2.2083585,,3.0420575,0.21951535,3.7411568,,16179.777,0.2766783,740.6934,0.1773895,0.14896679,7.3081875,10.34544,120.68897,45.94086,810.88477,789.21576,114.05002,8.95454,1.0430204,3.2380342,139.43713,,,,44.126305,0.09014199,59.554577,34.952812,0.18502778,1.0214293,32.640392,5.2760367,6.7453103,5045.938,50962.34,0.12258711,62.303604,83.01172,0.0,146.39128,0.1830806,0.0,3.5171142,0.23433618,163.21193,67.490395,,52.710423,,42.188133,74.69051,60.005066,2.01875,89.63032,34.152107,,25.051678,0.101623595,6.644743,4999.478,103.352684,27.236345,12.249116,1.1738644,0.12296898,163.92975,1130.9392,2.7381132,10.113251,0.33002883,13.09769,19.68696,0.014865145,38.636826,11.067755,63.15529,136.72601,32.259407,,0.5639759,18.124264,278.71048,431.67578,10626.461,29.564056,19.482496,,567.763,0.2536616,43.53359,,124.63679,3.7328212,4.383531,,294.95844,0.70942545,0.0,1.6667603,,244.70653,3.6329181,0.0,342.04626,,17.421734,0.47378287,1084.2651,,1.200193,0.7599552,1.1363288,67.29874,,5.0957937,16.930738,34.55398,,0.27396324,0.108891204,5.434981,,0.0,0.66532993,15.146013,1.1688143,17.11535,0.49540186,,0.18963212,27.989733,,1.4182675,0.41025108,0.6310107,10066.448,1.2930906,28.234076,74.45649,723.5238,1.0778116,2391.071,75.8493,0.8627369,12.852442,780.4187,74.89167,,3786.4697,,22.825115,9.14525,11.495455,29.093857,0.33356294,0.55909127,53.30309,116.86831,,530.69366,189.90565,0.48890755,836.1025,16.437778,23.786947,4.7579174,2.8244681,24.699568,254.50551,50.818172,2.5767741,117.67841,186.7089,2.314845,0.1540373,28.01453,,160.38138,4.7492785,,435.3964,,,7.236879,0.5327464,1.0495492,77.28511
